Token: SEMICOLON, Valor: ;, Linea: 55
Token: RETURN, Valor: return, Linea: 56
Token: VARIABLE, Valor: $operacion, Linea: 56
Token: MINUS, Valor: -, Linea: 56
Token: GT, Valor: >, Linea: 56
Token: ID, Valor: calcular, Linea: 56
Token: LPAREN, Valor: (, Linea: 56
Token: VARIABLE, Valor: $num1, Linea: 56
Token: COMMA, Valor: ,, Linea: 56
Token: VARIABLE, Valor: $num2, Linea: 56
Token: RPAREN, Valor: ), Linea: 56
Token: SEMICOLON, Valor: ;, Linea: 56
Token: RBRACE, Valor: }, Linea: 57
Token: RBRACE, Valor: }, Linea: 58
Token: VARIABLE, Valor: $calculadora, Linea: 61
Token: EQUALS, Valor: =, Linea: 61
Token: NEW, Valor: new, Linea: 61
Token: ID, Valor: Calculadora, Linea: 61
Token: LPAREN, Valor: (, Linea: 61
Token: RPAREN, Valor: ), Linea: 61
Token: SEMICOLON, Valor: ;, Linea: 61
Token: VARIABLE, Valor: $numeros, Linea: 62
Token: EQUALS, Valor: =, Linea: 62
Token: LBRACKET, Valor: [, Linea: 62
Token: INT, Valor: 10, Linea: 62
Token: COMMA, Valor: ,, Linea: 62
Token: INT, Valor: 5, Linea: 62
Token: RBRACKET, Valor: ], Linea: 62
Token: SEMICOLON, Valor: ;, Linea: 62
Token: VARIABLE, Valor: $operaciones, Linea: 64
Token: EQUALS, Valor: =, Linea: 64
Token: LBRACKET, Valor: [, Linea: 64
Token: STRING, Valor: suma, Linea: 64
Token: COMMA, Valor: ,, Linea: 64
Token: STRING, Valor: resta, Linea: 64
Token: COMMA, Valor: ,, Linea: 64
Token: STRING, Valor: multiplicacion, Linea: 64
Token: COMMA, Valor: ,, Linea: 64
Token: STRING, Valor: division, Linea: 64
Token: RBRACKET, Valor: ], Linea: 64
Token: SEMICOLON, Valor: ;, Linea: 64
Token: FOREACH, Valor: foreach, Linea: 65
Token: LPAREN, Valor: (, Linea: 65
Token: VARIABLE, Valor: $operaciones, Linea: 65
Token: AS, Valor: as, Linea: 65
Token: VARIABLE, Valor: $op, Linea: 65
Token: RPAREN, Valor: ), Linea: 65
Token: LBRACE, Valor: {, Linea: 65
Token: TRY, Valor: try, Linea: 66
Token: LBRACE, Valor: {, Linea: 66
Token: VARIABLE, Valor: $resultado, Linea: 67
Token: EQUALS, Valor: =, Linea: 67
Token: VARIABLE, Valor: $calculadora, Linea: 67
Token: MINUS, Valor: -, Linea: 67
Token: GT, Valor: >, Linea: 67
Token: ID, Valor: realizarOperacion, Linea: 67
Token: LPAREN, Valor: (, Linea: 67
Token: VARIABLE, Valor: $op, Linea: 67
Token: COMMA, Valor: ,, Linea: 67
Token: VARIABLE, Valor: $numeros, Linea: 67
Token: LBRACKET, Valor: [, Linea: 67
Token: INT, Valor: 0, Linea: 67
Token: RBRACKET, Valor: ], Linea: 67
Token: COMMA, Valor: ,, Linea: 67
Token: VARIABLE, Valor: $numeros, Linea: 67
Token: LBRACKET, Valor: [, Linea: 67
Token: INT, Valor: 1, Linea: 67
Token: RBRACKET, Valor: ], Linea: 67
Token: RPAREN, Valor: ), Linea: 67
Token: SEMICOLON, Valor: ;, Linea: 67
Token: ECHO, Valor: echo, Linea: 68
Token: STRING, Valor: Resultado de la operación $op entre {$numeros[0]} y {$numeros[1]}: $resultado\n, Linea: 68
Token: SEMICOLON, Valor: ;, Linea: 68
Token: RBRACE, Valor: }, Linea: 69
Token: CATCH, Valor: catch, Linea: 69
Token: LPAREN, Valor: (, Linea: 69
Token: ID, Valor: Exception, Linea: 69
Token: VARIABLE, Valor: $e, Linea: 69
Token: RPAREN, Valor: ), Linea: 69
Token: LBRACE, Valor: {, Linea: 69
Token: ECHO, Valor: echo, Linea: 70
Token: VARIABLE, Valor: $e, Linea: 70
Token: MINUS, Valor: -, Linea: 70
Token: GT, Valor: >, Linea: 70
Token: ID, Valor: getMessage, Linea: 70
Token: LPAREN, Valor: (, Linea: 70
Token: RPAREN, Valor: ), Linea: 70
Token: DOT, Valor: ., Linea: 70
Token: STRING, Valor: \n, Linea: 70
Token: SEMICOLON, Valor: ;, Linea: 70
Token: RBRACE, Valor: }, Linea: 71
Token: RBRACE, Valor: }, Linea: 72
Token: CLOSETAG, Valor: ?>, Linea: 74
